1, none, minecraft:the_void, MONSTER, mowziesmobs:grottol, 10, 1, 1
329, taiga, minecraft:old_growth_pine_taiga, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
330, taiga, minecraft:old_growth_pine_taiga, MONSTER, midnight_madness:necromancer, 10, 1, 2
331, taiga, minecraft:old_growth_pine_taiga, MONSTER, midnight_madness:fallen_king, 10, 1, 1
332, taiga, minecraft:old_growth_pine_taiga, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
333, taiga, minecraft:old_growth_pine_taiga, MONSTER, turrets:missile, 20, 4, 4
334, taiga, minecraft:old_growth_pine_taiga, MONSTER, quark:stoneling, 80, 1, 1
335, taiga, minecraft:old_growth_pine_taiga, MONSTER, quark:toretoise, 80, 2, 4
336, taiga, minecraft:old_growth_pine_taiga, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
337, taiga, minecraft:old_growth_pine_taiga, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
338, taiga, minecraft:old_growth_pine_taiga, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
339, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:sheep, 12, 4, 4
340, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:pig, 10, 4, 4
341, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:chicken, 10, 4, 4
342, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:cow, 10, 4, 4
343, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:wolf, 10, 4, 4
344, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
345, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:fox, 10, 2, 4
346, taiga, minecraft:old_growth_pine_taiga, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
347, taiga, minecraft:old_growth_pine_taiga, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
348, taiga, minecraft:old_growth_pine_taiga, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
349, taiga, minecraft:old_growth_pine_taiga, AMBIENT, minecraft:bat, 10, 8, 8
350, taiga, minecraft:old_growth_pine_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
351, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:spider, 80, 4, 4
352, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie, 80, 4, 4
353, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
354, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
355, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:creeper, 80, 4, 4
356, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:slime, 80, 4, 4
357, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:enderman, 5, 1, 4
358, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:witch, 5, 1, 1
359, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mowziesmobs:grottol, 10, 1, 1
360, taiga, minecraft:old_growth_spruce_taiga, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
361, taiga, minecraft:old_growth_spruce_taiga, MONSTER, midnight_madness:necromancer, 10, 1, 2
362, taiga, minecraft:old_growth_spruce_taiga, MONSTER, midnight_madness:fallen_king, 10, 1, 1
363, taiga, minecraft:old_growth_spruce_taiga, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
364, taiga, minecraft:old_growth_spruce_taiga, MONSTER, turrets:missile, 20, 4, 4
365, taiga, minecraft:old_growth_spruce_taiga, MONSTER, quark:stoneling, 80, 1, 1
366, taiga, minecraft:old_growth_spruce_taiga, MONSTER, quark:toretoise, 80, 2, 4
367, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
368, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
369, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
370, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:sheep, 12, 4, 4
371, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:pig, 10, 4, 4
372, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:chicken, 10, 4, 4
373, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:cow, 10, 4, 4
374, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:wolf, 10, 4, 4
375, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
376, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:fox, 10, 2, 4
377, taiga, minecraft:old_growth_spruce_taiga, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
378, taiga, minecraft:old_growth_spruce_taiga, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
379, taiga, minecraft:old_growth_spruce_taiga, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
380, taiga, minecraft:old_growth_spruce_taiga, AMBIENT, minecraft:bat, 10, 8, 8
381, taiga, minecraft:old_growth_spruce_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
382, taiga, minecraft:taiga, MONSTER, minecraft:spider, 80, 4, 4
383, taiga, minecraft:taiga, MONSTER, minecraft:zombie, 80, 4, 4
384, taiga, minecraft:taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
385, taiga, minecraft:taiga, MONSTER, minecraft:skeleton, 80, 4, 4
386, taiga, minecraft:taiga, MONSTER, minecraft:creeper, 80, 4, 4
387, taiga, minecraft:taiga, MONSTER, minecraft:slime, 80, 4, 4
388, taiga, minecraft:taiga, MONSTER, minecraft:enderman, 5, 1, 4
389, taiga, minecraft:taiga, MONSTER, minecraft:witch, 5, 1, 1
390, taiga, minecraft:taiga, MONSTER, mowziesmobs:grottol, 10, 1, 1
391, taiga, minecraft:taiga, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
392, taiga, minecraft:taiga, MONSTER, midnight_madness:necromancer, 10, 1, 2
393, taiga, minecraft:taiga, MONSTER, midnight_madness:fallen_king, 10, 1, 1
394, taiga, minecraft:taiga, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
395, taiga, minecraft:taiga, MONSTER, turrets:missile, 20, 4, 4
396, taiga, minecraft:taiga, MONSTER, powder_and_more_remastered:demolist, 10, 1, 2
397, taiga, minecraft:taiga, MONSTER, quark:stoneling, 80, 1, 1
398, taiga, minecraft:taiga, MONSTER, quark:toretoise, 80, 2, 4
399, taiga, minecraft:taiga, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
400, taiga, minecraft:taiga, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
401, taiga, minecraft:taiga, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
402, taiga, minecraft:taiga, CREATURE, minecraft:sheep, 12, 4, 4
403, taiga, minecraft:taiga, CREATURE, minecraft:pig, 10, 4, 4
404, taiga, minecraft:taiga, CREATURE, minecraft:chicken, 10, 4, 4
405, taiga, minecraft:taiga, CREATURE, minecraft:cow, 10, 4, 4
406, taiga, minecraft:taiga, CREATURE, minecraft:wolf, 10, 4, 4
407, taiga, minecraft:taiga, CREATURE, minecraft:rabbit, 10, 2, 3
408, taiga, minecraft:taiga, CREATURE, minecraft:fox, 10, 2, 4
409, taiga, minecraft:taiga, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
410, taiga, minecraft:taiga, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
411, taiga, minecraft:taiga, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
412, taiga, minecraft:taiga, AMBIENT, minecraft:bat, 10, 8, 8
413, taiga, minecraft:taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
414, taiga, minecraft:snowy_taiga, MONSTER, minecraft:spider, 80, 4, 4
415, taiga, minecraft:snowy_taiga, MONSTER, minecraft:zombie, 80, 4, 4
416, taiga, minecraft:snowy_taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
417, taiga, minecraft:snowy_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
418, taiga, minecraft:snowy_taiga, MONSTER, minecraft:creeper, 80, 4, 4
419, taiga, minecraft:snowy_taiga, MONSTER, minecraft:slime, 80, 4, 4
420, taiga, minecraft:snowy_taiga, MONSTER, minecraft:enderman, 5, 1, 4
421, taiga, minecraft:snowy_taiga, MONSTER, minecraft:witch, 5, 1, 1
422, taiga, minecraft:snowy_taiga, MONSTER, mowziesmobs:grottol, 10, 1, 1
423, taiga, minecraft:snowy_taiga, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
424, taiga, minecraft:snowy_taiga, MONSTER, midnight_madness:necromancer, 10, 1, 2
425, taiga, minecraft:snowy_taiga, MONSTER, midnight_madness:fallen_king, 10, 1, 1
426, taiga, minecraft:snowy_taiga, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
427, taiga, minecraft:snowy_taiga, MONSTER, turrets:missile, 20, 4, 4
428, taiga, minecraft:snowy_taiga, MONSTER, quark:stoneling, 80, 1, 1
429, taiga, minecraft:snowy_taiga, MONSTER, quark:toretoise, 80, 2, 4
430, taiga, minecraft:snowy_taiga, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
431, taiga, minecraft:snowy_taiga, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
432, taiga, minecraft:snowy_taiga, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
433, taiga, minecraft:snowy_taiga, CREATURE, minecraft:sheep, 12, 4, 4
434, taiga, minecraft:snowy_taiga, CREATURE, minecraft:pig, 10, 4, 4
435, taiga, minecraft:snowy_taiga, CREATURE, minecraft:chicken, 10, 4, 4
436, taiga, minecraft:snowy_taiga, CREATURE, minecraft:cow, 10, 4, 4
437, taiga, minecraft:snowy_taiga, CREATURE, minecraft:wolf, 10, 4, 4
438, taiga, minecraft:snowy_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
439, taiga, minecraft:snowy_taiga, CREATURE, minecraft:fox, 10, 2, 4
440, taiga, minecraft:snowy_taiga, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
441, taiga, minecraft:snowy_taiga, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
442, taiga, minecraft:snowy_taiga, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
443, taiga, minecraft:snowy_taiga, AMBIENT, minecraft:bat, 10, 8, 8
444, taiga, minecraft:snowy_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
445, savanna, minecraft:savanna, MONSTER, minecraft:spider, 80, 4, 4
446, savanna, minecraft:savanna, MONSTER, minecraft:zombie, 80, 4, 4
447, savanna, minecraft:savanna, MONSTER, minecraft:zombie_villager, 10, 1, 1
448, savanna, minecraft:savanna, MONSTER, minecraft:skeleton, 80, 4, 4
449, savanna, minecraft:savanna, MONSTER, minecraft:creeper, 80, 4, 4
450, savanna, minecraft:savanna, MONSTER, minecraft:slime, 80, 4, 4
451, savanna, minecraft:savanna, MONSTER, minecraft:enderman, 5, 1, 4
452, savanna, minecraft:savanna, MONSTER, minecraft:witch, 5, 1, 1
453, savanna, minecraft:savanna, MONSTER, mowziesmobs:barakoana, 10, 1, 1
454, savanna, minecraft:savanna, MONSTER, mowziesmobs:grottol, 10, 1, 1
455, savanna, minecraft:savanna, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
456, savanna, minecraft:savanna, MONSTER, midnight_madness:necromancer, 10, 1, 2
457, savanna, minecraft:savanna, MONSTER, midnight_madness:fallen_king, 10, 1, 1
458, savanna, minecraft:savanna, MONSTER, turrets:missile, 20, 4, 4
459, savanna, minecraft:savanna, MONSTER, quark:stoneling, 80, 1, 1
460, savanna, minecraft:savanna, MONSTER, quark:toretoise, 80, 2, 4
461, savanna, minecraft:savanna, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
462, savanna, minecraft:savanna, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
463, savanna, minecraft:savanna, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
464, savanna, minecraft:savanna, CREATURE, minecraft:sheep, 12, 4, 4
465, savanna, minecraft:savanna, CREATURE, minecraft:pig, 10, 4, 4
466, savanna, minecraft:savanna, CREATURE, minecraft:chicken, 10, 4, 4
467, savanna, minecraft:savanna, CREATURE, minecraft:cow, 10, 4, 4
468, savanna, minecraft:savanna, CREATURE, minecraft:horse, 10, 2, 6
469, savanna, minecraft:savanna, CREATURE, minecraft:donkey, 10, 1, 1
470, savanna, minecraft:savanna, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
471, savanna, minecraft:savanna, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
472, savanna, minecraft:savanna, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
473, savanna, minecraft:savanna, AMBIENT, minecraft:bat, 10, 8, 8
474, savanna, minecraft:savanna, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
475, savanna, minecraft:savanna_plateau, MONSTER, minecraft:spider, 80, 4, 4
476, savanna, minecraft:savanna_plateau, MONSTER, minecraft:zombie, 80, 4, 4
477, savanna, minecraft:savanna_plateau, MONSTER, minecraft:zombie_villager, 10, 1, 1
478, savanna, minecraft:savanna_plateau, MONSTER, minecraft:skeleton, 80, 4, 4
479, savanna, minecraft:savanna_plateau, MONSTER, minecraft:creeper, 80, 4, 4
480, savanna, minecraft:savanna_plateau, MONSTER, minecraft:slime, 80, 4, 4
481, savanna, minecraft:savanna_plateau, MONSTER, minecraft:enderman, 5, 1, 4
482, savanna, minecraft:savanna_plateau, MONSTER, minecraft:witch, 5, 1, 1
483, savanna, minecraft:savanna_plateau, MONSTER, mowziesmobs:barakoana, 10, 1, 1
484, savanna, minecraft:savanna_plateau, MONSTER, mowziesmobs:grottol, 10, 1, 1
485, savanna, minecraft:savanna_plateau, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
486, savanna, minecraft:savanna_plateau, MONSTER, midnight_madness:necromancer, 10, 1, 2
487, savanna, minecraft:savanna_plateau, MONSTER, midnight_madness:fallen_king, 10, 1, 1
488, savanna, minecraft:savanna_plateau, MONSTER, turrets:missile, 20, 4, 4
489, savanna, minecraft:savanna_plateau, MONSTER, quark:stoneling, 80, 1, 1
490, savanna, minecraft:savanna_plateau, MONSTER, quark:toretoise, 80, 2, 4
491, savanna, minecraft:savanna_plateau, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
492, savanna, minecraft:savanna_plateau, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
493, savanna, minecraft:savanna_plateau, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
494, savanna, minecraft:savanna_plateau, CREATURE, minecraft:sheep, 12, 4, 4
495, savanna, minecraft:savanna_plateau, CREATURE, minecraft:pig, 10, 4, 4
496, savanna, minecraft:savanna_plateau, CREATURE, minecraft:chicken, 10, 4, 4
497, savanna, minecraft:savanna_plateau, CREATURE, minecraft:cow, 10, 4, 4
498, savanna, minecraft:savanna_plateau, CREATURE, minecraft:horse, 10, 2, 6
499, savanna, minecraft:savanna_plateau, CREATURE, minecraft:donkey, 10, 1, 1
500, savanna, minecraft:savanna_plateau, CREATURE, minecraft:llama, 10, 4, 4
501, savanna, minecraft:savanna_plateau, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
502, savanna, minecraft:savanna_plateau, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
503, savanna, minecraft:savanna_plateau, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
504, savanna, minecraft:savanna_plateau, CREATURE, quark:shiba, 40, 1, 3
505, savanna, minecraft:savanna_plateau, AMBIENT, minecraft:bat, 10, 8, 8
506, savanna, minecraft:savanna_plateau, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
507, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:spider, 80, 4, 4
508, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:zombie, 80, 4, 4
509, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:zombie_villager, 10, 1, 1
510, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:skeleton, 80, 4, 4
511, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:creeper, 80, 4, 4
512, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:slime, 80, 4, 4
513, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:enderman, 5, 1, 4
514, extreme_hills, minecraft:windswept_hills, MONSTER, minecraft:witch, 5, 1, 1
515, extreme_hills, minecraft:windswept_hills, MONSTER, mowziesmobs:grottol, 10, 1, 1
516, extreme_hills, minecraft:windswept_hills, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
517, extreme_hills, minecraft:windswept_hills, MONSTER, midnight_madness:necromancer, 10, 1, 2
518, extreme_hills, minecraft:windswept_hills, MONSTER, midnight_madness:fallen_king, 10, 1, 1
519, extreme_hills, minecraft:windswept_hills, MONSTER, turrets:missile, 20, 4, 4
520, extreme_hills, minecraft:windswept_hills, MONSTER, quark:stoneling, 80, 1, 1
521, extreme_hills, minecraft:windswept_hills, MONSTER, quark:toretoise, 80, 2, 4
522, extreme_hills, minecraft:windswept_hills, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
523, extreme_hills, minecraft:windswept_hills, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
524, extreme_hills, minecraft:windswept_hills, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
525, extreme_hills, minecraft:windswept_hills, CREATURE, minecraft:sheep, 12, 4, 4
526, extreme_hills, minecraft:windswept_hills, CREATURE, minecraft:pig, 10, 4, 4
527, extreme_hills, minecraft:windswept_hills, CREATURE, minecraft:chicken, 10, 4, 4
528, extreme_hills, minecraft:windswept_hills, CREATURE, minecraft:cow, 10, 4, 4
529, extreme_hills, minecraft:windswept_hills, CREATURE, minecraft:llama, 10, 4, 6
530, extreme_hills, minecraft:windswept_hills, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
531, extreme_hills, minecraft:windswept_hills, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
532, extreme_hills, minecraft:windswept_hills, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
533, extreme_hills, minecraft:windswept_hills, AMBIENT, minecraft:bat, 10, 8, 8
534, extreme_hills, minecraft:windswept_hills, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
535, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:spider, 80, 4, 4
536, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:zombie, 80, 4, 4
537, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:zombie_villager, 10, 1, 1
538, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:skeleton, 80, 4, 4
539, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:creeper, 80, 4, 4
540, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:slime, 80, 4, 4
541, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:enderman, 5, 1, 4
542, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, minecraft:witch, 5, 1, 1
543, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, mowziesmobs:grottol, 10, 1, 1
544, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
545, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, midnight_madness:necromancer, 10, 1, 2
546, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, midnight_madness:fallen_king, 10, 1, 1
547, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, turrets:missile, 20, 4, 4
548, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, quark:stoneling, 80, 1, 1
549, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, quark:toretoise, 80, 2, 4
550, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
551, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
552, extreme_hills, minecraft:windswept_gravelly_hills, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
553, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, minecraft:sheep, 12, 4, 4
554, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, minecraft:pig, 10, 4, 4
555, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, minecraft:chicken, 10, 4, 4
556, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, minecraft:cow, 10, 4, 4
557, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, minecraft:llama, 10, 4, 6
558, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
559, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
560, extreme_hills, minecraft:windswept_gravelly_hills, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
561, extreme_hills, minecraft:windswept_gravelly_hills, AMBIENT, minecraft:bat, 10, 8, 8
562, extreme_hills, minecraft:windswept_gravelly_hills, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
563, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:spider, 80, 4, 4
564, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:zombie, 80, 4, 4
565, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
566, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:skeleton, 80, 4, 4
567, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:creeper, 80, 4, 4
568, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:slime, 80, 4, 4
569, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:enderman, 5, 1, 4
570, extreme_hills, minecraft:windswept_forest, MONSTER, minecraft:witch, 5, 1, 1
571, extreme_hills, minecraft:windswept_forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
572, extreme_hills, minecraft:windswept_forest, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
573, extreme_hills, minecraft:windswept_forest, MONSTER, midnight_madness:necromancer, 10, 1, 2
574, extreme_hills, minecraft:windswept_forest, MONSTER, midnight_madness:fallen_king, 10, 1, 1
575, extreme_hills, minecraft:windswept_forest, MONSTER, turrets:missile, 20, 4, 4
576, extreme_hills, minecraft:windswept_forest, MONSTER, quark:stoneling, 80, 1, 1
577, extreme_hills, minecraft:windswept_forest, MONSTER, quark:toretoise, 80, 2, 4
578, extreme_hills, minecraft:windswept_forest, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
579, extreme_hills, minecraft:windswept_forest, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
580, extreme_hills, minecraft:windswept_forest, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
581, extreme_hills, minecraft:windswept_forest, CREATURE, minecraft:sheep, 12, 4, 4
582, extreme_hills, minecraft:windswept_forest, CREATURE, minecraft:pig, 10, 4, 4
583, extreme_hills, minecraft:windswept_forest, CREATURE, minecraft:chicken, 10, 4, 4
584, extreme_hills, minecraft:windswept_forest, CREATURE, minecraft:cow, 10, 4, 4
585, extreme_hills, minecraft:windswept_forest, CREATURE, minecraft:llama, 10, 4, 6
586, extreme_hills, minecraft:windswept_forest, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
587, extreme_hills, minecraft:windswept_forest, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
588, extreme_hills, minecraft:windswept_forest, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
589, extreme_hills, minecraft:windswept_forest, AMBIENT, minecraft:bat, 10, 8, 8
590, extreme_hills, minecraft:windswept_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
591, savanna, minecraft:windswept_savanna, MONSTER, minecraft:spider, 80, 4, 4
592, savanna, minecraft:windswept_savanna, MONSTER, minecraft:zombie, 80, 4, 4
593, savanna, minecraft:windswept_savanna, MONSTER, minecraft:zombie_villager, 10, 1, 1
594, savanna, minecraft:windswept_savanna, MONSTER, minecraft:skeleton, 80, 4, 4
595, savanna, minecraft:windswept_savanna, MONSTER, minecraft:creeper, 80, 4, 4
596, savanna, minecraft:windswept_savanna, MONSTER, minecraft:slime, 80, 4, 4
597, savanna, minecraft:windswept_savanna, MONSTER, minecraft:enderman, 5, 1, 4
598, savanna, minecraft:windswept_savanna, MONSTER, minecraft:witch, 5, 1, 1
599, savanna, minecraft:windswept_savanna, MONSTER, mowziesmobs:barakoana, 10, 1, 1
600, savanna, minecraft:windswept_savanna, MONSTER, mowziesmobs:grottol, 10, 1, 1
601, savanna, minecraft:windswept_savanna, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
602, savanna, minecraft:windswept_savanna, MONSTER, midnight_madness:necromancer, 10, 1, 2
603, savanna, minecraft:windswept_savanna, MONSTER, midnight_madness:fallen_king, 10, 1, 1
604, savanna, minecraft:windswept_savanna, MONSTER, turrets:missile, 20, 4, 4
605, savanna, minecraft:windswept_savanna, MONSTER, quark:stoneling, 80, 1, 1
606, savanna, minecraft:windswept_savanna, MONSTER, quark:toretoise, 80, 2, 4
607, savanna, minecraft:windswept_savanna, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
608, savanna, minecraft:windswept_savanna, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
609, savanna, minecraft:windswept_savanna, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
610, savanna, minecraft:windswept_savanna, CREATURE, minecraft:sheep, 12, 4, 4
611, savanna, minecraft:windswept_savanna, CREATURE, minecraft:pig, 10, 4, 4
612, savanna, minecraft:windswept_savanna, CREATURE, minecraft:chicken, 10, 4, 4
613, savanna, minecraft:windswept_savanna, CREATURE, minecraft:cow, 10, 4, 4
614, savanna, minecraft:windswept_savanna, CREATURE, minecraft:horse, 10, 2, 6
615, savanna, minecraft:windswept_savanna, CREATURE, minecraft:donkey, 10, 1, 1
616, savanna, minecraft:windswept_savanna, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
617, savanna, minecraft:windswept_savanna, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
618, savanna, minecraft:windswept_savanna, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
619, savanna, minecraft:windswept_savanna, AMBIENT, minecraft:bat, 10, 8, 8
620, savanna, minecraft:windswept_savanna, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
621, jungle, minecraft:jungle, MONSTER, minecraft:spider, 80, 4, 4
622, jungle, minecraft:jungle, MONSTER, minecraft:zombie, 80, 4, 4
623, jungle, minecraft:jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
624, jungle, minecraft:jungle, MONSTER, minecraft:skeleton, 80, 4, 4
625, jungle, minecraft:jungle, MONSTER, minecraft:creeper, 80, 4, 4
626, jungle, minecraft:jungle, MONSTER, minecraft:slime, 80, 4, 4
627, jungle, minecraft:jungle, MONSTER, minecraft:enderman, 5, 1, 4
628, jungle, minecraft:jungle, MONSTER, minecraft:witch, 5, 1, 1
629, jungle, minecraft:jungle, MONSTER, minecraft:ocelot, 10, 1, 3
630, jungle, minecraft:jungle, MONSTER, mowziesmobs:foliaath, 70, 1, 4
631, jungle, minecraft:jungle, MONSTER, mowziesmobs:grottol, 10, 1, 1
